id,year,budget_type,revenue,expenditure,budget_balance,revenue_category,expenditure_category,region,agency,budget_planned,budget_executed,execution_rate,program_code,program_name,subProgram_code,subProgram_name,amount
18,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,цифровизация,республиканский уровень,Министерство цифрового развития РК,380000000000,360000000000,94.7,13,Цифровой Казахстан,013-1,Цифровая инфраструктура,220000000000
19,2024,местный,1650000000000,1690000000000.0,-40000000000.0,неналоговые,образование,Актюбинская область,Акимат Актюбинской области,160000000000,155000000000,96.9,1,Развитие образования,001-3,Техническое и профессиональное образование,78000000000
20,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,наука,республиканский уровень,Министерство науки и высшего образования РК,320000000000,305000000000,95.3,14,Развитие науки,014-1,Фундаментальные исследования,180000000000
21,2024,местный,1500000000000,1530000000000.0,-30000000000.0,налоги,здравоохранение,Костанайская область,Акимат Костанайской области,145000000000,140000000000,96.6,2,Развитие здравоохранения,002-3,Реабилитационная помощь,72000000000
22,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,торговля и услуги,республиканский уровень,Министерство торговли и интеграции РК,180000000000,170000000000,94.4,15,Развитие торговли,015-1,Поддержка экспорта,95000000000
23,2024,местный,1400000000000,1420000000000.0,-20000000000.0,налоги,социальная помощь,Павлодарская область,Акимат Павлодарской области,135000000000,130000000000,96.3,3,Социальная поддержка населения,003-3,Социальные услуги,68000000000
24,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,индустрия,республиканский уровень,Министерство индустрии и инфраструктурного развития РК,920000000000,880000000000,95.7,16,Индустриальное развитие,016-1,Развитие обрабатывающей промышленности,520000000000
25,2024,местный,1300000000000,1315000000000.0,-15000000000.0,неналоговые,транспорт,Кызылординская область,Акимат Кызылординской области,125000000000,120000000000,96.0,5,Развитие транспортной инфраструктуры,005-3,Железнодорожный транспорт,65000000000
26,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,трудовые отношения,республиканский уровень,Министерство труда и социальной защиты РК,450000000000,430000000000,95.6,17,Содействие занятости,017-1,Активные меры содействия занятости,250000000000
27,2024,местный,1200000000000,1210000000000.0,-10000000000.0,налоги,жилищно-коммунальное хозяйство,Мангистауская область,Акимат Мангистауской области,115000000000,110000000000,95.7,7,Развитие ЖКХ,007-3,Газоснабжение,58000000000
28,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,внутренние дела,республиканский уровень,Министерство внутренних дел РК,1100000000000,1050000000000,95.5,18,Обеспечение общественной безопасности,018-1,Полицейская деятельность,650000000000
29,2024,местный,1100000000000,1105000000000.0,-5000000000.0,налоги,образование,Атырауская область,Акимат Атырауской области,105000000000,100000000000,95.2,1,Развитие образования,001-4,Дополнительное образование,52000000000
30,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,информация и связь,республиканский уровень,Министерство информации и общественного развития РК,150000000000,142000000000,94.7,19,Развитие информационного пространства,019-1,Государственная информационная политика,85000000000
31,2024,местный,1000000000000,1002000000000.0,-2000000000.0,неналоговые,здравоохранение,Жамбылская область,Акимат Жамбылской области,95000000000,92000000000,96.8,2,Развитие здравоохранения,002-4,Скорая медицинская помощь,48000000000
32,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,чрезвычайные ситуации,республиканский уровень,Министерство по чрезвычайным ситуациям РК,280000000000,265000000000,94.6,20,Гражданская защита,020-1,Предупреждение и ликвидация ЧС,160000000000
33,2024,местный,950000000000,951000000000.0,-1000000000.0,налоги,социальная помощь,Акмолинская область,Акимат Акмолинской области,90000000000,87000000000,96.7,3,Социальная поддержка населения,003-4,Реабилитация инвалидов,45000000000
34,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,иностранные дела,республиканский уровень,Министерство иностранных дел РК,120000000000,115000000000,95.8,21,Внешняя политика,021-1,Дипломатическая деятельность,70000000000
35,2024,местный,900000000000,900500000000.0,-500000000.0,налоги,транспорт,Туркестанская область,Акимат Туркестанской области,85000000000,82000000000,96.5,5,Развитие транспортной инфраструктуры,005-4,Авиационный транспорт,42000000000
36,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,жилищная политика,республиканский уровень,Министерство индустрии и инфраструктурного развития РК,850000000000,815000000000,95.9,22,Жилищная политика,022-1,Доступное жилье,480000000000
37,2024,местный,850000000000,850200000000.0,-200000000.0,неналоговые,жилищно-коммунальное хозяйство,Улытау,Акимат области Улытау,80000000000,78000000000,97.5,7,Развитие ЖКХ,007-4,Благоустройство,40000000000
38,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,региональное развитие,республиканский уровень,Министерство национальной экономики РК,650000000000,620000000000,95.4,23,Региональное развитие,023-1,Поддержка регионов,380000000000
39,2024,местный,800000000000,800100000000.0,-100000000.0,налоги,образование,Абай,Акимат области Абай,75000000000,73000000000,97.3,1,Развитие образования,001-5,Инклюзивное образование,38000000000
40,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,государственный долг,республиканский уровень,Министерство финансов РК,420000000000,400000000000,95.2,24,Управление государственным долгом,024-1,Обслуживание государственного долга,250000000000
41,2024,местный,750000000000,750050000000.0,-50000000.0,налоги,здравоохранение,Жетісу,Акимат области Жетісу,70000000000,68000000000,97.1,2,Развитие здравоохранения,002-5,Санитарно-эпидемиологическое благополучие,35000000000
42,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,туризм,республиканский уровень,Министерство культуры и спорта РК,180000000000,170000000000,94.4,25,Развитие туризма,025-1,Туристская инфраструктура,105000000000
43,2024,местный,700000000000,700025000000.0,-25000000.0,неналоговые,социальная помощь,Костанайская область,Управление социального обеспечения Костанайской области,65000000000,63000000000,96.9,3,Социальная поддержка населения,003-5,Социальная поддержка семей,32000000000
44,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,ветеранские вопросы,республиканский уровень,Министерство обороны РК,250000000000,240000000000,96.0,26,Социальная поддержка военнослужащих,026-1,Социальные гарантии военнослужащих,150000000000
45,2024,местный,650000000000,650015000000.0,-15000000.0,налоги,транспорт,Карагандинская область,Управление транспорта Карагандинской области,60000000000,58000000000,96.7,5,Развитие транспортной инфраструктуры,005-5,Водный транспорт,30000000000
46,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,молодежная политика,республиканский уровень,Министерство культуры и спорта РК,120000000000,115000000000,95.8,27,Государственная молодежная политика,027-1,Поддержка молодежных инициатив,70000000000
47,2024,местный,600000000000,600010000000.0,-10000000.0,налоги,жилищно-коммунальное хозяйство,Восточно-Казахстанская область,Управление ЖКХ ВКО,55000000000,53000000000,96.4,7,Развитие ЖКХ,007-5,Управление отходами,28000000000
48,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,религиозная деятельность,республиканский уровень,Комитет по делам религий МИиОР РК,80000000000,75000000000,93.8,28,Государственно-конфессиональные отношения,028-1,Религиозное просвещение,45000000000
49,2024,местный,550000000000,550008000000.0,-8000000.0,неналоговые,образование,Западно-Казахстанская область,Управление образования ЗКО,50000000000,48000000000,96.0,1,Развитие образования,001-6,Методическое обеспечение образования,25000000000
50,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,архивная деятельность,республиканский уровень,Комитет информации МИиОР РК,60000000000,57000000000,95.0,29,Архивное дело,029-1,Сохранение архивных документов,35000000000
51,2024,местный,520000000000,520006000000.0,-6000000.0,налоги,здравоохранение,Южно-Казахстанская область,Управление здравоохранения ЮКО,48000000000,46000000000,95.8,2,Развитие здравоохранения,002-6,Лекарственное обеспечение,24000000000
52,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,статистика,республиканский уровень,Бюро национальной статистики АДМ ПРК,45000000000,42000000000,93.3,30,Государственная статистика,030-1,Статистические обследования,25000000000
53,2024,местный,500000000000,500005000000.0,-5000000.0,налоги,социальная помощь,Северо-Казахстанская область,Управление социального обеспечения СКО,45000000000,43000000000,95.6,3,Социальная поддержка населения,003-6,Социальная поддержка пожилых,22000000000
54,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,стандартизация,республиканский уровень,Комитет технического регулирования и метрологии МТиИ РК,35000000000,33000000000,94.3,31,Техническое регулирование,031-1,Стандартизация и метрология,20000000000
55,2024,местный,480000000000,480004000000.0,-4000000.0,неналоговые,транспорт,Актюбинская область,Управление транспорта Актюбинской области,42000000000,40000000000,95.2,5,Развитие транспортной инфраструктуры,005-6,Транспортная безопасность,21000000000
56,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,интеллектуальная собственность,республиканский уровень,Комитет по правам интеллектуальной собственности МЮ РК,30000000000,28000000000,93.3,32,Защита интеллектуальной собственности,032-1,Патентно-лицензионная деятельность,18000000000
57,2024,местный,460000000000,460003000000.0,-3000000.0,налоги,жилищно-коммунальное хозяйство,Павлодарская область,Управление ЖКХ Павлодарской области,40000000000,38000000000,95.0,7,Развитие ЖКХ,007-6,Энергоэффективность в ЖКХ,20000000000
58,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,геология,республиканский уровень,Комитет геологии МИиИР РК,180000000000,170000000000,94.4,33,Геологическое изучение недр,033-1,Геологоразведочные работы,120000000000
59,2024,местный,440000000000,440002500000.0,-2500000.0,налоги,образование,Кызылординская область,Управление образования Кызылординской области,38000000000,36000000000,94.7,1,Развитие образования,001-7,Цифровизация образования,19000000000
60,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,водные ресурсы,республиканский уровень,Комитет по водным ресурсам МЭ РК,380000000000,360000000000,94.7,34,Управление водными ресурсами,034-1,Водохозяйственная инфраструктура,250000000000
61,2024,местный,420000000000,420002000000.0,-2000000.0,неналоговые,здравоохранение,Мангистауская область,Управление здравоохранения Мангистауской области,36000000000,34000000000,94.4,2,Развитие здравоохранения,002-7,Охрана материнства и детства,18000000000
62,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,лесное хозяйство,республиканский уровень,Комитет лесного хозяйства и животного мира МЭ РК,150000000000,142000000000,94.7,35,Охрана и защита лесов,035-1,Лесовосстановление,95000000000
63,2024,местный,400000000000,400001500000.0,-1500000.0,налоги,социальная помощь,Атырауская область,Управление социального обеспечения Атырауской области,34000000000,32000000000,94.1,3,Социальная поддержка населения,003-7,Социальная поддержка детей,17000000000
64,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,миграционная служба,республиканский уровень,Министерство внутренних дел РК,85000000000,80000000000,94.1,36,Миграционная политика,036-1,Миграционный контроль,50000000000
65,2024,местный,380000000000,380001200000.0,-1200000.0,налоги,транспорт,Жамбылская область,Управление транспорта Жамбылской области,32000000000,30000000000,93.8,5,Развитие транспортной инфраструктуры,005-7,Региональные дороги,16000000000
66,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,пожарная безопасность,республиканский уровень,Министерство по чрезвычайным ситуациям РК,120000000000,115000000000,95.8,37,Пожарная безопасность,037-1,Пожарно-спасательная служба,75000000000
67,2024,местный,360000000000,360001000000.0,-1000000.0,неналоговые,жилищно-коммунальное хозяйство,Акмолинская область,Управление ЖКХ Акмолинской области,30000000000,28000000000,93.3,7,Развитие ЖКХ,007-7,Электроснабжение,15000000000
68,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,таможенная служба,республиканский уровень,Министерство финансов РК,180000000000,170000000000,94.4,38,Таможенное администрирование,038-1,Таможенный контроль,110000000000
69,2024,местный,340000000000,340000800000.0,-800000.0,налоги,образование,Туркестанская область,Управление образования Туркестанской области,28000000000,26000000000,92.9,1,Развитие образования,001-8,Материально-техническое обеспечение образования,14000000000
70,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,финансовый мониторинг,республиканский уровень,Комитет финансового мониторинга МФ РК,45000000000,42000000000,93.3,39,Финансовый мониторинг,039-1,Противодействие отмыванию доходов,28000000000
71,2024,местный,320000000000,320000600000.0,-600000.0,налоги,здравоохранение,Улытау,Управление здравоохранения области Улытау,26000000000,24000000000,92.3,2,Развитие здравоохранения,002-8,Профилактическая медицина,13000000000
72,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,антикоррупционная служба,республиканский уровень,Агентство по противодействию коррупции РК,65000000000,62000000000,95.4,40,Противодействие коррупции,040-1,Антикоррупционная политика,40000000000
73,2024,местный,300000000000,300000500000.0,-500000.0,неналоговые,социальная помощь,Абай,Управление социального обеспечения области Абай,24000000000,22000000000,91.7,3,Социальная поддержка населения,003-8,Социальная реабилитация,12000000000
74,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,государственная служба,республиканский уровень,Агентство по делам государственной службы РК,95000000000,90000000000,94.7,41,Развитие государственной службы,041-1,Профессиональное развитие государственных служащих,58000000000
75,2024,местный,280000000000,280000400000.0,-400000.0,налоги,транспорт,Жетісу,Управление транспорта области Жетісу,22000000000,20000000000,90.9,5,Развитие транспортной инфраструктуры,005-8,Сельские дороги,11000000000
76,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,контрольно-надзорная деятельность,республиканский уровень,Комитет индустриального развития и промышленной безопасности МИиИР РК,75000000000,71000000000,94.7,42,Промышленная безопасность,042-1,Технический надзор,45000000000
77,2024,местный,260000000000,260000300000.0,-300000.0,налоги,жилищно-коммунальное хозяйство,Костанайская область,КСК Костанайской области,20000000000,18000000000,90.0,7,Развитие ЖКХ,007-8,Капитальный ремонт жилого фонда,10000000000
78,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,земельные отношения,республиканский уровень,Комитет по управлению земельными ресурсами МСХ РК,120000000000,114000000000,95.0,43,Управление земельными ресурсами,043-1,Земельный кадастр,75000000000
79,2024,местный,240000000000,240000250000.0,-250000.0,неналоговые,образование,Павлодарская область,КГУ Павлодарской области,18000000000,16000000000,88.9,1,Развитие образования,001-9,Повышение квалификации педагогов,9000000000
80,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,ветеринария,республиканский уровень,Комитет ветеринарного контроля и надзора МСХ РК,85000000000,80000000000,94.1,44,Ветеринарная безопасность,044-1,Ветеринарно-санитарные мероприятия,52000000000
81,2024,местный,220000000000,220000200000.0,-200000.0,налоги,здравоохранение,Кызылординская область,Больницы Кызылординской области,16000000000,14000000000,87.5,2,Развитие здравоохранения,002-9,Медицинская реабилитация,8000000000
82,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,атомная энергия,республиканский уровень,Комитет атомного и энергетического надзора и контроля МЭ РК,65000000000,61000000000,93.8,45,Атомный надзор,045-1,Радиационная безопасность,40000000000
83,2024,местный,200000000000,200000150000.0,-150000.0,налоги,социальная помощь,Мангистауская область,Центры социального обслуживания Мангистауской области,14000000000,12000000000,85.7,3,Социальная поддержка населения,003-9,Социальное обслуживание на дому,7000000000
84,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,фармацевтическая деятельность,республиканский уровень,Комитет контроля качества и безопасности товаров и услуг МЗ РК,55000000000,52000000000,94.5,46,Контроль качества лекарственных средств,046-1,Фармацевтический надзор,35000000000
85,2024,местный,180000000000,180000120000.0,-120000.0,неналоговые,транспорт,Атырауская область,Дорожно-транспортные управления Атырауской области,12000000000,10000000000,83.3,5,Развитие транспортной инфраструктуры,005-9,Содержание дорог,6000000000
86,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,космическая деятельность,республиканский уровень,Казкосмос МЦР РК,45000000000,42000000000,93.3,47,Космическая деятельность,047-1,Космические программы,28000000000
87,2024,местный,160000000000,160000100000.0,-100000.0,налоги,жилищно-коммунальное хозяйство,Жамбылская область,Коммунальные предприятия Жамбылской области,10000000000,8000000000,80.0,7,Развитие ЖКХ,007-9,Модернизация коммунальной инфраструктуры,5000000000
88,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,спорт высших достижений,республиканский уровень,Комитет спорта и физической культуры МКиС РК,85000000000,80000000000,94.1,48,Развитие спорта высших достижений,048-1,Подготовка спортивного резерва,55000000000
89,2024,местный,140000000000,140000080000.0,-80000.0,налоги,образование,Западно-Казахстанская область,Школы Западно-Казахстанской области,8000000000,6000000000,75.0,1,Развитие образования,001-10,Обеспечение качества образования,4000000000
90,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,массовый спорт,республиканский уровень,Комитет спорта и физической культуры МКиС РК,65000000000,61000000000,93.8,49,Развитие массового спорта,049-1,Физическая культура и спорт для всех,42000000000
91,2024,местный,120000000000,120000070000.0,-70000.0,неналоговые,здравоохранение,Северо-Казахстанская область,Поликлиники Северо-Казахстанской области,7000000000,5000000000,71.4,2,Развитие здравоохранения,002-10,Телемедицина,3500000000
92,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,культурное наследие,республиканский уровень,Комитет культуры МКиС РК,75000000000,70000000000,93.3,50,Сохранение культурного наследия,050-1,Реставрация памятников,48000000000
93,2024,местный,100000000000,100000060000.0,-60000.0,налоги,социальная помощь,Актюбинская область,Центры адресной социальной помощи Актюбинской области,6000000000,4000000000,66.7,3,Социальная поддержка населения,003-10,Адресная социальная помощь семьям,3000000000
94,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,языковая политика,республиканский уровень,Комитет по языкам МКиС РК,35000000000,32000000000,91.4,51,Языковая политика,051-1,Развитие государственного языка,22000000000
95,2024,местный,90000000000,90000050000.0,-50000.0,налоги,транспорт,Туркестанская область,Автопарки Туркестанской области,5000000000,3000000000,60.0,5,Развитие транспортной инфраструктуры,005-10,Обновление автопарка,2500000000
96,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,издательская деятельность,республиканский уровень,Комитет информации МИиОР РК,25000000000,22000000000,88.0,52,Государственная издательская политика,052-1,Издание социально значимой литературы,15000000000
97,2024,местный,80000000000,80000045000.0,-45000.0,неналоговые,жилищно-коммунальное хозяйство,Улытау,Водоканалы области Улытау,4500000000,2500000000,55.6,7,Развитие ЖКХ,007-10,Очистка сточных вод,2250000000
98,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,библиотечное дело,республиканский уровень,Комитет культуры МКиС РК,18000000000,15000000000,83.3,53,Развитие библиотечного дела,053-1,Модернизация библиотек,12000000000
99,2024,местный,70000000000,70000040000.0,-40000.0,налоги,образование,Абай,Детские сады области Абай,4000000000,2000000000,50.0,1,Развитие образования,001-11,Развитие дошкольного воспитания,2000000000
100,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,музейное дело,республиканский уровень,Комитет культуры МКиС РК,15000000000,12000000000,80.0,54,Развитие музейного дела,054-1,Оцифровка музейных коллекций,9000000000
101,2024,местный,65000000000,65000035000.0,-35000.0,налоги,здравоохранение,Жетісу,Аптеки области Жетісу,3500000000,1500000000,42.9,2,Развитие здравоохранения,002-11,Лекарственное обеспечение льготных категорий,1750000000
102,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,кинематография,республиканский уровень,Казахфильм МКиС РК,12000000000,9000000000,75.0,55,Развитие кинематографии,055-1,Производство национального кино,7500000000
103,2024,местный,60000000000,60000030000.0,-30000.0,неналоговые,социальная помощь,Костанайская область,Интернаты Костанайской области,3000000000,1000000000,33.3,3,Социальная поддержка населения,003-11,Социальное обслуживание в стационаре,1500000000
104,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,театральное искусство,республиканский уровень,Комитет культуры МКиС РК,8000000000,6000000000,75.0,56,Развитие театрального искусства,056-1,Поддержка театральных коллективов,5000000000
105,2024,местный,55000000000,55000025000.0,-25000.0,налоги,транспорт,Павлодарская область,Аэропорты Павлодарской области,2500000000,500000000,20.0,5,Развитие транспортной инфраструктуры,005-11,Развитие региональной авиации,1250000000
106,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,концертная деятельность,республиканский уровень,Комитет культуры МКиС РК,6000000000,4000000000,66.7,57,Развитие концертной деятельности,057-1,Поддержка музыкальных коллективов,3500000000
107,2024,местный,50000000000,50000020000.0,-20000.0,налоги,жилищно-коммунальное хозяйство,Кызылординская область,Теплосети Кызылординской области,2000000000,200000000,10.0,7,Развитие ЖКХ,007-11,Реконструкция тепловых сетей,1000000000
108,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,народное творчество,республиканский уровень,Комитет культуры МКиС РК,4000000000,2500000000,62.5,58,Развитие народного творчества,058-1,Фестивали народного творчества,2000000000
109,2024,местный,45000000000,45000018000.0,-18000.0,неналоговые,образование,Мангистауская область,Колледжи Мангистауской области,1800000000,100000000,5.6,1,Развитие образования,001-12,Развитие технического образования,900000000
110,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,изобразительное искусство,республиканский уровень,Комитет культуры МКиС РК,3000000000,1500000000,50.0,59,Развитие изобразительного искусства,059-1,Выставочная деятельность,1500000000
111,2024,местный,42000000000,42000015000.0,-15000.0,налоги,здравоохранение,Атырауская область,Санатории Атырауской области,1500000000,50000000,3.3,2,Развитие здравоохранения,002-12,Санаторно-курортное лечение,750000000
112,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,художественное образование,республиканский уровень,Комитет культуры МКиС РК,2500000000,1000000000,40.0,60,Художественное образование,060-1,Детские школы искусств,1250000000
113,2024,местный,40000000000,40000012000.0,-12000.0,налоги,социальная помощь,Жамбылская область,Реабилитационные центры Жамбылской области,1200000000,20000000,1.7000000000000002,3,Социальная поддержка населения,003-12,Реабилитация наркозависимых,600000000
114,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,охрана памятников,республиканский уровень,Комитет культуры МКиС РК,2000000000,500000000,25.0,61,Охрана памятников истории и культуры,061-1,Консервация памятников,1000000000
115,2024,местный,38000000000,38000010000.0,-10000.0,неналоговые,транспорт,Акмолинская область,Железнодорожные станции Акмолинской области,1000000000,10000000,1.0,5,Развитие транспортной инфраструктуры,005-12,Модернизация железнодорожной инфраструктуры,500000000
116,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,археология,республиканский уровень,Комитет культуры МКиС РК,1500000000,200000000,13.3,62,Археологические исследования,062-1,Охранные раскопки,750000000
117,2024,местный,35000000000,35000008000.0,-8000.0,налоги,жилищно-коммунальное хозяйство,Туркестанская область,Электросети Туркестанской области,800000000,5000000,0.6000000000000001,7,Развитие ЖКХ,007-12,Модернизация электросетей,400000000
